,date,county,fips,hosptot_mean,hosptot_CI95l,hosptot_CI95u,icutot_mean,icutot_CI95l,icutot_CI95u,cummort_mean,cummort_CI95l,cummort_CI95u,,,,,,,
2,3/2/20,Alameda County,6001,0,0,0,0,0,0,0,0,0,,,,,,,
3,3/3/20,Alameda County,6001,0.002201004,0.001723906,0.003808017,5.22E-05,3.95E-05,8.78281E-05,2.62E-06,2.00E-06,4.22E-06,,,,,,,
4,3/4/20,Alameda County,6001,0.015372446,0.012144708,0.025541409,0.000707335,0.000538011,0.001158633,3.81E-05,2.93E-05,5.98E-05,,,,,,,
5,3/5/20,Alameda County,6001,0.047075456,0.037619786,0.075515658,0.003114761,0.002384436,0.004984178,0.000193875,0.00015023,0.000299056,,,,,,,
6,3/6/20,Alameda County,6001,0.104969771,0.084746369,0.164009885,0.008792987,0.006774033,0.013807149,0.000633,0.000494192,0.000960696,,,,,,,
7,3/7/20,Alameda County,6001,0.199479027,0.162389433,0.305836815,0.019679523,0.015254494,0.030390825,0.001614289,0.00126786,0.002414981,,,,,,,
8,3/8/20,Alameda County,6001,0.346101783,0.28314825,0.523131829,0.038374007,0.029922167,0.058394253,0.003525098,0.002778161,0.005206523,,,,,,,
9,3/9/20,Alameda County,6001,0.568199079,0.46662602,0.850254676,0.068540631,0.053748233,0.102960938,0.006933909,0.00548117,0.010125576,,,,,,,
10,3/10/20,Alameda County,6001,0.900892398,0.741083407,1.339206109,0.115503232,0.090794509,0.171553963,0.012672514,0.010045578,0.018320097,,,,,,,
11,3/11/20,Alameda County,6001,1.396772254,1.148699275,2.067813543,0.187114499,0.14730322,0.275162809,0.02196133,0.017454061,0.031466467,,,,,,,
12,3/12/20,Alameda County,6001,2.134360857,1.752786183,3.150933584,0.295031937,0.232784891,0.430233591,0.036597976,0.02917286,0.052025542,,,,,,,
13,3/13/20,Alameda County,6001,3.230691513,2.636163718,4.762855631,0.456601251,0.361219614,0.661057247,0.05923923,0.047419765,0.083624057,,,,,,,
14,3/14/20,Alameda County,6001,4.860011764,3.960822831,7.166672081,0.697645928,0.55317474,1.004659217,0.093821266,0.075388533,0.131620995,,,,,,,
15,3/15/20,Alameda County,6001,7.281579244,5.920250748,10.74917101,1.056606187,0.839469944,1.514680042,0.146185064,0.118027138,0.203947541,,,,,,,
16,3/16/20,Alameda County,6001,10.88093992,8.819852895,16.05729633,1.59068381,1.260122772,2.271276187,0.225006446,0.182749248,0.312299864,,,,,,,
17,3/17/20,Alameda County,6001,16.23116231,13.01146483,23.8837587,2.384963909,1.878730259,3.393459622,0.343178348,0.280129865,0.47385972,,,,,,,
18,3/18/20,Alameda County,6001,23.7596787,18.90558473,34.87525076,3.556013185,2.778433156,5.056456491,0.51935664,0.422227847,0.714328362,,,,,,,
19,3/19/20,Alameda County,6001,32.60993923,26.02716775,47.42110459,5.170689764,4.019989375,7.328739266,0.775345271,0.630464493,1.062467933,,,,,,,
20,3/20/20,Alameda County,6001,41.92613136,33.69338184,59.70240711,7.196592366,5.565950673,10.12770269,1.13099,0.915067027,1.546187982,,,,,,,
21,3/21/20,Alameda County,6001,51.1545743,41.39500456,71.20804593,9.547699852,7.404565561,13.29753891,1.601461779,1.296671977,2.179201487,,,,,,,
22,3/22/20,Alameda County,6001,59.94813082,48.93003817,81.69244659,12.11867951,9.429129835,16.68753495,2.196332318,1.772870589,2.962389703,,,,,,,
23,3/23/20,Alameda County,6001,68.10128619,56.11821538,90.87919031,14.80463095,11.56793184,20.12752876,2.919678444,2.357288942,3.900186636,,,,,,,
24,3/24/20,Alameda County,6001,75.50548688,62.84792309,98.9296331,17.51160853,13.75067869,23.48250453,3.770728961,3.059315761,4.986949904,,,,,,,
25,3/25/20,Alameda County,6001,82.11807481,69.01941892,105.7609917,20.16141156,15.91723865,26.65210532,4.744750739,3.868386365,6.212693905,,,,,,,
26,3/26/20,Alameda County,6001,87.94048967,74.62011743,111.4332483,22.69291335,18.01906607,29.55212486,5.833990952,4.776795921,7.562111158,,,,,,,
27,3/27/20,Alameda County,6001,93.00288642,79.41584564,115.948083,25.06139845,20.01912415,32.15246654,7.028570712,5.741993467,9.019428429,,,,,,,
28,3/28/20,Alameda County,6001,97.35325538,83.21483571,119.4165618,27.23684674,21.87506884,34.46535905,8.317275609,6.7750028,10.56818546,,,,,,,
29,3/29/20,Alameda County,6001,101.0497419,86.50288676,122.1084033,29.20175391,23.51544676,36.50505301,9.688220295,7.875302875,12.19204388,,,,,,,
30,3/30/20,Alameda County,6001,104.155263,89.2791242,124.1419092,30.94884723,24.9495297,38.24502438,11.12938346,9.039714604,13.87537453,,,,,,,
31,3/31/20,Alameda County,6001,106.7337825,91.6744694,125.624099,32.47890486,26.23281847,39.71575594,12.6290206,10.29515068,15.62960307,,,,,,,
32,4/1/20,Alameda County,6001,108.8477934,93.73473623,126.6499532,33.79879015,27.37077217,40.92611526,14.17596782,11.60196277,17.42185861,,,,,,,
33,4/2/20,Alameda County,6001,110.5566742,95.74513375,127.3025308,34.91974975,28.47818148,41.87836027,15.75985221,12.95254294,19.2368565,,,,,,,
