date,county,fips,hosp019_mean,hosp019_best,hosp019_CI95l,hosp019_CI95u,hosp2039_mean,hosp2039_best,hosp2039_CI95l,hosp2039_CI95u,hosp4059_mean,hosp4059_best,hosp4059_CI95l,hosp4059_CI95u,hosp60_mean,hosp60_best,hosp60_CI95l,hosp60_CI95u,hosptot_mean,hosptot_best,hosptot_CI95l,hosptot_CI95u,newhosp019_mean,newhosp019_best,newhosp019_CI95l,newhosp019_CI95u,newhosp2039_mean,newhosp2039_best,newhosp2039_CI95l,newhosp2039_CI95u,newhosp4059_mean,newhosp4059_best,newhosp4059_CI95l,newhosp4059_CI95u,newhosp60_mean,newhosp60_best,newhosp60_CI95l,newhosp60_CI95u,icu019_mean,icu019_best,icu019_CI95l,icu019_CI95u,icu2039_mean,icu2039_best,icu2039_CI95l,icu2039_CI95u,icu4059_mean,icu4059_best,icu4059_CI95l,icu4059_CI95u,icu60_mean,icu60_best,icu60_CI95l,icu60_CI95u,icutot_mean,icutot_best,icutot_CI95l,icutot_CI95u,newinfec019_mean,newinfec019_best,newinfec019_CI95l,newinfec019_CI95u,newinfec2039_mean,newinfec2039_best,newinfec2039_CI95l,newinfec2039_CI95u,newinfec4059_mean,newinfec4059_best,newinfec4059_CI95l,newinfec4059_CI95u,newinfec60_mean,newinfec60_best,newinfec60_CI95l,newinfec60_CI95u,newinfectot_mean,newinfectot_best,newinfectot_CI95l,newinfectot_CI95u,newcases019_mean,newcases019_best,newcases019_CI95l,newcases019_CI95u,newcases2039_mean,newcases2039_best,newcases2039_CI95l,newcases2039_CI95u,newcases4059_mean,newcases4059_best,newcases4059_CI95l,newcases4059_CI95u,newcases60_mean,newcases60_best,newcases60_CI95l,newcases60_CI95u,newcasestot_mean,newcasestot_best,newcasestot_CI95l,newcasestot_CI95u,cummort_mean,cummort_best,cummort_CI95l,cummort_CI95u,hosp_data,icu_data,cummort_data
12/1/20,Contra Costa County,6013,0.295503351,0.295574915,0.29315209,0.297346243,13.68558629,13.67340334,13.6114911,13.76959495,76.09419137,76.08243498,75.94825602,76.22438122,19.37582445,19.37033027,19.29782316,19.44756156,109.4511055,109.4217435,109.2644203,109.6171119,0.032162004,0.03220583,0.031864671,0.032427252,1.022169585,1.021810646,1.016070659,1.028813207,8.359076116,8.36004974,8.342323085,8.374152492,1.3066528,1.306632374,1.302372579,1.310671509,0.056388017,0.056339058,0.055957496,0.056714587,3.016301655,3.012099862,2.999743739,3.033599023,15.22022022,15.20679976,15.18508019,15.26373017,8.769186668,8.75677294,8.7322907,8.804022249,27.06209656,27.03201162,27.01262259,27.11398413,47.65829997,47.77801769,47.39113606,48.08045066,43.87350448,43.9487798,43.69582526,44.0827728,121.9272887,121.9767632,121.6005345,122.2917922,14.27566936,14.28638231,14.23288204,14.32743348,227.7347625,227.989943,227.0324532,228.6917754,37.45352099,37.526989,37.25532924,37.74670667,36.21802562,36.2592565,36.07366897,36.38871006,94.23210492,94.23669308,93.9958135,94.51155137,11.97657374,11.98177397,11.94142169,12.01948797,179.8802253,180.0047126,179.3107773,180.5968381,263.152546,263.0519545,262.974741,263.3157509,112,27,261
12/2/20,Contra Costa County,6013,0.311691156,0.311817294,0.309159621,0.313709905,13.86058144,13.84916042,13.78369819,13.94607876,80.44995487,80.44163751,80.29506706,80.5876858,19.63718446,19.63256707,19.55914396,19.70797248,114.2594119,114.2351823,114.0657975,114.4195911,0.033750462,0.033802177,0.033433591,0.034038091,1.039403573,1.03918949,1.033175904,1.046037757,8.832843326,8.834539513,8.81485491,8.848778477,1.344285859,1.344315713,1.340056652,1.348411939,0.059711488,0.059668251,0.059247368,0.060068481,3.06533383,3.061183744,3.048338051,3.083157253,16.07287008,16.05921988,16.03603364,16.11839343,8.865340198,8.853347301,8.827482883,8.900205513,28.0632556,28.03341918,28.01273186,28.11430061,50.06817035,50.19854308,49.783719,50.51847366,46.05748684,46.14060157,45.87417146,46.27751608,128.2327373,128.2952738,127.884617,128.6173165,15.01033981,15.0228088,14.96474638,15.06468903,239.3687343,239.6572272,238.6209571,240.3938203,39.3007926,39.3826952,39.09328798,39.61423552,37.60996489,37.65742076,37.45905975,37.78799784,99.25526127,99.26812938,99.00299884,99.55010155,12.51512406,12.52142018,12.47875533,12.56001768,188.6811428,188.8296655,188.0797295,189.440193,264.6982396,264.5962514,264.5198618,264.8626548,116,27,261
12/3/20,Contra Costa County,6013,0.328570582,0.328756576,0.32584926,0.330806047,14.04721949,14.03666849,13.96936036,14.133978,85.04207108,85.03788025,84.87781261,85.1902167,19.9309674,19.92723946,19.85294281,20.00021601,119.3488285,119.3305448,119.1488684,119.5225809,0.03541855,0.035478471,0.03508216,0.035729956,1.061080804,1.061014206,1.054706571,1.067738132,9.326990579,9.329494973,9.307693078,9.3438029,1.387210456,1.387302686,1.382786799,1.391461994,0.063170198,0.063133874,0.062674345,0.063545097,3.113017515,3.108947108,3.095627991,3.131447394,16.97815676,16.96436408,16.93920789,17.02572516,8.968375825,8.956776421,8.929697258,9.003158333,29.1227203,29.09322148,29.07171757,29.17432682,52.61055875,52.75219282,52.31223501,53.09046982,48.3650798,48.45648864,48.17608064,48.59646608,134.8536009,134.9299366,134.4826665,135.2654805,15.78404399,15.79837349,15.73545368,15.84135267,251.6132835,251.9369916,250.8155288,252.6994235,41.24994789,41.34068945,41.03265435,41.58702942,39.14591067,39.19988881,38.98958568,39.33158319,104.5108476,104.5328697,104.2416562,104.8216009,13.09556044,13.10308771,13.05714675,13.14256051,198.0022666,198.1765357,197.3742114,198.8001152,266.3020311,266.198674,266.1234604,266.4679593,122,36,262
12/4/20,Contra Costa County,6013,0.346186453,0.34643763,0.343265532,0.348637593,14.24933891,14.23976289,14.17067546,14.33715638,89.87802099,89.8787031,89.7039547,90.03153153,20.26119394,20.25838261,20.18402872,20.32964216,124.7347403,124.7232862,124.5290694,124.9233029,0.03717199,0.037240465,0.036816675,0.037507927,1.08718471,1.087268961,1.080645598,1.094021984,9.842766085,9.846170816,9.822081597,9.860430023,1.435419469,1.435586935,1.430807889,1.439863285,0.066771297,0.066743085,0.066242294,0.067175985,3.160173012,3.156208837,3.142278422,3.178830686,17.93765045,17.92381436,17.89648821,17.98729791,9.080186793,9.06895613,9.040830686,9.114803737,30.24478156,30.21572241,30.19332583,30.29684118,55.30106697,55.45569481,54.98345148,55.81310493,50.81046494,50.91163327,50.61172031,51.05447751,141.8425982,141.9365617,141.448756,142.2751053,16.60280771,16.61946227,16.55120717,16.66376393,264.5569378,264.923352,263.7070612,265.7070805,43.30653443,43.40655607,43.07585725,43.66827052,40.82215338,40.88297961,40.65823548,41.01611878,110.0139278,110.0459534,109.7267618,110.3526893,13.7176955,13.72658454,13.6781881,13.76691897,207.8603111,208.0620736,207.213843,208.7031102,267.9675092,267.8628158,267.7887632,268.1349054,126,35,262
12/5/20,Contra Costa County,6013,0.364586133,0.364907848,0.361455502,0.367262026,14.47051158,14.46201225,14.39004964,14.56068217,94.96586441,94.97221261,94.78152734,95.1284611,20.63163037,20.62977577,20.55505508,20.6999099,130.4325925,130.4289085,130.2216855,130.628794,0.0390163,0.039093691,0.038639467,0.039372927,1.117682948,1.117921699,1.110959964,1.12474193,10.38138511,10.38578098,10.35940589,10.39991316,1.488895862,1.489151246,1.484259942,1.493521469,0.070522727,0.070503832,0.069959105,0.070965082,3.207648722,3.203816059,3.189042368,3.226506001,18.95298588,18.93921783,18.9095053,19.00536435,9.202678691,9.191795438,9.162742992,9.237059647,31.43383602,31.40533316,31.38102991,31.4862482,58.10270829,58.26890266,57.76701584,58.64743512,53.35611462,53.46575309,53.14695302,53.61165885,149.0674712,149.175069,148.6466955,149.5203224,17.45116114,17.46969554,17.39698797,17.5163609,277.9774553,278.3794203,277.074301,279.1960343,45.47792544,45.58790299,45.22985606,45.86560046,42.6382354,42.70644261,42.46674564,42.84160626,115.7864041,115.8298244,115.480393,116.1430997,14.38251811,14.39296386,14.34042682,14.43404797,218.285083,218.5171338,217.619723,219.1840897,269.6984981,269.592507,269.5195864,269.8673082,133,35,267
12/6/20,Contra Costa County,6013,0.383820947,0.384218697,0.38047007,0.386730698,14.71407782,14.70675668,14.63166056,14.80581086,100.3150107,100.3278872,100.1199202,100.4879129,21.04587069,21.04502844,20.97031831,21.112738,136.4587802,136.463891,136.2375584,136.6572607,0.040958085,0.04104485,0.040557507,0.041330865,1.152562592,1.152961794,1.145636589,1.159903084,10.94453906,10.95003809,10.92146259,10.96399225,1.547676922,1.548035507,1.543033751,1.552462067,0.074433192,0.074424824,0.073826865,0.074915879,3.256286806,3.252609681,3.237049659,3.275349342,20.02589385,20.01231736,19.97998712,20.08137953,9.337713173,9.327159612,9.297280335,9.371799815,32.69432703,32.66651148,32.6414692,32.7513917,61.09273258,61.2736529,60.73554709,61.6732869,56.07630799,56.19704245,55.85394887,56.34635677,156.7780555,156.9058561,156.3397293,157.2543463,18.35832904,18.37952914,18.30281479,18.42786248,292.3054251,292.7560806,291.3405376,293.6143038,47.76343355,47.88366063,47.49381868,48.17820085,44.58696556,44.66275542,44.40718881,44.80063698,121.8221677,121.8773953,121.4958355,122.1968258,15.08791386,15.09999174,15.04304103,15.14196652,229.2604807,229.5238031,228.5520358,230.2088646,271.4990597,271.3918161,271.3198501,271.6692204,138,35,267
12/7/20,Contra Costa County,6013,0.403945446,0.404424777,0.40036348,0.407097102,14.98312268,14.9770806,14.89863369,15.07654778,105.9355636,105.9558776,105.7292051,106.1199084,21.50734004,21.50757377,21.43285609,21.57348293,142.8299717,142.8449567,142.5999463,143.035266,0.043002188,0.043098767,0.042577323,0.043394868,1.19176807,1.192333226,1.184619545,1.199416817,11.53330029,11.54000599,11.50886012,11.5544942,1.611728676,1.612204559,1.607047456,1.616682359,0.07851211,0.078515488,0.077860391,0.079037793,3.306926308,3.303427613,3.287243272,3.32620282,21.1582215,21.144973,21.11027681,21.21604842,9.487111421,9.476874044,9.446248716,9.520857164,34.03077134,34.00379014,33.97749648,34.0903363,65.80458631,66.03956441,65.40915639,66.40438692,59.08755027,59.2224027,58.84238548,59.39937561,166.7237616,166.8844907,166.2658295,167.2306104,20.0646658,20.08983659,20.0017125,20.13686975,311.680564,312.2362944,310.6554042,313.1591225,50.17653118,50.30782234,49.88476285,50.61989643,46.67595519,46.75997,46.49015838,46.90083765,128.1616095,128.2301764,127.8139678,128.5549137,15.83768147,15.85160207,15.78988027,15.89431144,240.8517774,241.1495708,240.0968601,241.8650611,273.3734971,273.2650538,273.1939753,273.5449359,140,34,267
12/8/20,Contra Costa County,6013,0.424946855,0.42551488,0.421119736,0.428339932,15.28032767,15.27567169,15.19360617,15.3756059,111.8296271,111.8586821,111.611643,112.0268463,22.01527711,22.01683508,21.94178094,22.0805653,149.5501787,149.5767037,149.3112399,149.7693457,0.045169368,0.045276264,0.044721028,0.045587758,1.23532644,1.236064445,1.22794175,1.243315056,12.15115198,12.15914666,12.12496913,12.17424322,1.681925419,1.682514414,1.677142902,1.687191103,0.082769663,0.08278604,0.082070099,0.083341015,3.360388538,3.357090319,3.340261719,3.379888706,22.35195618,22.33918814,22.30192522,22.41398472,9.65264464,9.642717201,9.611696064,9.686012005,35.44775903,35.4217817,35.39404581,35.50816673,38.24657225,38.07301555,37.30905417,39.48408144,58.84537989,58.96891014,58.01693546,59.61254743,137.8391434,138.1753181,137.1333068,138.519181,6.255358337,6.41847483,6.003773022,6.420003691,241.1864539,241.6357186,239.262954,243.2535049,53.00683781,53.15701179,52.69831781,53.47702688,48.93260033,49.0259157,48.73848873,49.17013749,135.1556105,135.2410903,134.7830002,135.5699049,16.77508888,16.79127522,16.7239558,16.8351206,253.8701375,254.2152931,253.0634681,254.9441022,275.3263586,275.2167778,275.1465162,275.4989942,143,39,267
12/9/20,Contra Costa County,6013,0.446080456,0.446731282,0.442005808,0.449732306,15.60590448,15.60272303,15.51637091,15.70282896,117.9047956,117.9440854,117.675459,118.11588,22.52633763,22.52980361,22.45384189,22.5911816,156.4831182,156.5233433,156.2342752,156.7163749,0.047103971,0.047222009,0.046643828,0.04755398,1.282218371,1.28314476,1.274429186,1.290550957,12.75332489,12.76354305,12.72559136,12.77776195,1.737607283,1.738801074,1.732609949,1.743140581,0.087198273,0.087228804,0.086448343,0.08782362,3.417417764,3.414341397,3.396746939,3.43714397,23.60676521,23.59467193,23.55449259,23.67306806,9.833742603,9.824163711,9.793402042,9.866703861,36.94512385,36.92040584,36.88864662,37.00643041,30.04433565,29.33036541,29.03481501,31.3376004,59.47619654,59.56036733,58.42457054,60.52536662,130.6376133,130.5524299,130.1902926,131.1401844,2.027792955,2.040639647,1.999214954,2.069602849,222.1859384,221.4838023,220.9966753,224.0023579,50.3156777,50.40695751,49.99189287,50.87252844,50.73541457,50.83427006,50.51808855,50.99477802,135.6304789,135.7615238,135.272678,136.0504517,14.92894998,14.97304129,14.85324343,14.99846133,251.6105211,251.9757926,250.8097506,252.6843396,277.3621547,277.2515127,277.1803551,277.5358982,164,40,270
12/10/20,Contra Costa County,6013,0.46646647,0.467169611,0.462193174,0.470377497,15.95843105,15.95676183,15.86527833,16.05706245,124.0456577,124.0955981,123.8055697,124.2647339,22.98901703,22.99477943,22.91703994,23.05618637,163.4595722,163.514309,163.196362,163.7043857,0.048048305,0.048151435,0.047594544,0.048512048,1.329659777,1.330731746,1.320917369,1.338070321,13.23988957,13.25154505,13.21258093,13.26481626,1.735791074,1.737547443,1.730399229,1.74132623,0.091752049,0.091796893,0.090954067,0.092437866,3.478593876,3.475758589,3.457355049,3.498973662,24.91711114,24.90589924,24.86212224,24.98652302,10.02501233,10.01586569,9.985231035,10.05818582,38.5124694,38.48932041,38.45146694,38.57598265,29.91568836,29.18052132,28.89069619,31.23414023,60.2484168,60.32781376,59.16261934,61.34963389,132.0855383,131.9857886,131.6195457,132.5829715,1.848908432,1.861348026,1.820057077,1.891488319,224.0985519,223.3554718,222.8428341,225.9876047,46.62374652,46.56863419,46.25102863,47.31722217,52.32453548,52.42075602,51.98453253,52.69760918,134.7109125,134.8026494,134.3599295,135.117318,12.61809547,12.6565673,12.55047409,12.67667234,246.27729,246.4486069,245.4777073,247.3755883,279.4847502,279.3731415,279.2997545,279.6595071,156,32,273
