,date,county,fips,hosp019_mean,hosp019_best,hosp019_CI95l,hosp019_CI95u,hosp2039_mean,hosp2039_best,hosp2039_CI95l,hosp2039_CI95u,hosp4059_mean,hosp4059_best,hosp4059_CI95l,hosp4059_CI95u,hosp60_mean,hosp60_best,hosp60_CI95l,hosp60_CI95u,hosptot_mean,hosptot_best,hosptot_CI95l,hosptot_CI95u,newhosp019_mean,newhosp019_best,newhosp019_CI95l,newhosp019_CI95u,newhosp2039_mean,newhosp2039_best,newhosp2039_CI95l,newhosp2039_CI95u,newhosp4059_mean,newhosp4059_best,newhosp4059_CI95l,newhosp4059_CI95u,newhosp60_mean,newhosp60_best,newhosp60_CI95l,newhosp60_CI95u,icu019_mean,icu019_best,icu019_CI95l,icu019_CI95u,icu2039_mean,icu2039_best,icu2039_CI95l,icu2039_CI95u,icu4059_mean,icu4059_best,icu4059_CI95l,icu4059_CI95u,icu60_mean,icu60_best,icu60_CI95l,icu60_CI95u,icutot_mean,icutot_best,icutot_CI95l,icutot_CI95u,newinfec019_mean,newinfec019_best,newinfec019_CI95l,newinfec019_CI95u,newinfec2039_mean,newinfec2039_best,newinfec2039_CI95l,newinfec2039_CI95u,newinfec4059_mean,newinfec4059_best,newinfec4059_CI95l,newinfec4059_CI95u,newinfec60_mean,newinfec60_best,newinfec60_CI95l,newinfec60_CI95u,newcases019_mean,newcases019_best,newcases019_CI95l,newcases019_CI95u,newcases2039_mean,newcases2039_best,newcases2039_CI95l,newcases2039_CI95u,newcases4059_mean,newcases4059_best,newcases4059_CI95l,newcases4059_CI95u,newcases60_mean,newcases60_best,newcases60_CI95l,newcases60_CI95u,newinfectot_mean,newinfectot_best,newinfectot_CI95l,newinfectot_CI95u,cummort_mean,cummort_best,cummort_CI95l,cummort_CI95u,hosp_data,icu_data,cummort_data
2,3/2/20,Alameda County,6001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
3,3/3/20,Alameda County,6001,2.54E-05,2.24E-05,2.06E-05,3.79E-05,0.000610901,0.000515623,0.000408101,0.0009911,0.000392732,0.000351272,0.000282899,0.00062177,0.001846287,0.001626048,0.001436214,0.003313091,0.00287527,0.002515382,0.002252015,0.004974582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54E-07,3.42E-07,2.88E-07,5.24E-07,8.51E-06,7.84E-06,5.68E-06,1.35E-05,5.45E-06,5.32E-06,3.77E-06,8.54E-06,4.64E-05,4.32E-05,3.53E-05,8.09E-05,6.07E-05,5.67E-05,4.59E-05,0.000102139,1.094556911,1.079951239,0.994864137,1.198503961,2.283700791,2.252932919,2.075529871,2.500933953,2.029865449,2.00241039,1.844772698,2.223088911,1.377495485,1.358889488,1.251906648,1.508592495,6.785618637,6.694184036,6.167073354,7.431119319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62E-06,2.40E-06,2.00E-06,4.22E-06,NA,NA,NA
4,3/4/20,Alameda County,6001,0.00017603,0.000158392,0.000144303,0.0002527,0.004252002,0.003649481,0.002863503,0.006625085,0.002736683,0.002489081,0.001981582,0.004168334,0.012916996,0.011574781,0.010198164,0.022445176,0.020081711,0.017871734,0.015865173,0.03336588,7.34E-05,6.53E-05,5.99E-05,0.000108159,0.001770195,0.00150194,0.001183679,0.002829247,0.001138288,0.001023524,0.000820681,0.001775305,0.005317877,0.004711043,0.004159639,0.009434826,4.82E-06,4.71E-06,3.96E-06,6.92E-06,0.000115853,0.000108021,7.80E-05,0.0001787,7.40E-05,7.31E-05,5.15E-05,0.000112358,0.000627946,0.000591893,0.000480474,0.001065727,0.000822589,0.000777703,0.000625676,0.001347423,1.182557399,1.184460534,1.072718049,1.295564446,2.503727003,2.506166717,2.272737518,2.741954765,2.239284975,2.240876494,2.033167294,2.452114715,1.516661227,1.517851139,1.376761054,1.660876736,7.442230605,7.449354885,6.755383915,8.150294508,0.224514403,0.211955328,0.20156903,0.25274671,0.468431451,0.442169164,0.420500063,0.527489275,0.416365256,0.393000661,0.373740135,0.468913098,0.282551249,0.266700807,0.253629598,0.318194716,3.81E-05,3.52E-05,2.93E-05,5.98E-05,NA,NA,NA
5,3/5/20,Alameda County,6001,0.000535148,0.000488477,0.000440797,0.000741072,0.012976001,0.011301748,0.008811624,0.019537303,0.008366364,0.007721145,0.006090377,0.012429809,0.039619252,0.036037188,0.031660579,0.067052041,0.061496765,0.055548559,0.049144401,0.098649467,0.000252589,0.000229312,0.000207774,0.000352789,0.006116063,0.005297082,0.004127808,0.009285139,0.003940904,0.003617183,0.002859059,0.005870067,0.018379078,0.016638353,0.014657457,0.031330903,2.13E-05,2.10E-05,1.76E-05,2.97E-05,0.000512795,0.000483241,0.000347504,0.000769218,0.000326558,0.000326123,0.000228973,0.000483986,0.002761625,0.00263202,0.002123226,0.00458903,0.003622286,0.003462427,0.002772961,0.00579631,1.56108016,1.575060491,1.423160542,1.721479133,3.355651071,3.382788975,3.058979765,3.701075032,3.021118448,3.044413542,2.753942363,3.332557069,2.043064826,2.058942303,1.862466913,2.253964757,9.980914505,10.06120531,9.098603983,11.00907599,0.420930089,0.402782302,0.38092538,0.465820919,0.885769355,0.847227875,0.801368058,0.980721916,0.790198207,0.755683945,0.71481336,0.875155598,0.535657378,0.512286584,0.484557138,0.593145741,0.000193875,0.000181089,0.00015023,0.000299056,NA,NA,NA
6,3/6/20,Alameda County,6001,0.001183498,0.001093993,0.000977968,0.001591588,0.028836555,0.025442371,0.019747788,0.042190587,0.018633646,0.017417933,0.013637459,0.026996458,0.088472988,0.081527376,0.071112551,0.14644513,0.137126686,0.125481673,0.110707955,0.214253416,0.000520054,0.000480115,0.000429741,0.00069644,0.012672953,0.011165284,0.008635092,0.018461774,0.008190982,0.007646957,0.005979955,0.011829385,0.038136996,0.035145095,0.030721957,0.063024734,6.03E-05,6.01E-05,5.02E-05,8.20E-05,0.00145422,0.001383703,0.000991403,0.002128304,0.000924181,0.000932059,0.000652376,0.00134343,0.007787016,0.007496129,0.006013999,0.012699758,0.010225734,0.00987201,0.007877807,0.016056913,2.226736954,2.260232079,2.018895301,2.468103203,4.835684118,4.904555849,4.386580546,5.361838485,4.374575947,4.435239952,3.969122112,4.851804987,2.956778483,2.997789481,2.68259795,3.279891712,14.3937755,14.59781736,13.05710289,15.96163839,0.654637297,0.632780799,0.596760378,0.72542073,1.392170073,1.344809937,1.268813033,1.545020367,1.247685752,1.204901778,1.136946099,1.385582138,0.844819618,0.815897399,0.769834632,0.93792979,0.000633,0.000596241,0.000494192,0.000960696,NA,NA,NA
7,3/7/20,Alameda County,6001,0.002229704,0.002084251,0.001846594,0.002929676,0.054622892,0.048750739,0.037699579,0.077990524,0.035384448,0.033453098,0.026031167,0.050150424,0.168351292,0.156919169,0.134906065,0.273738102,0.260588336,0.241207256,0.212136547,0.39952825,0.000895593,0.00083839,0.000742114,0.001163118,0.021986854,0.019648563,0.015124342,0.031017676,0.014262631,0.013503716,0.010486286,0.020104315,0.066315565,0.062011508,0.053218712,0.10727623,0.000135166,0.000135867,0.000113207,0.000179813,0.003267296,0.00313662,0.002240761,0.00468047,0.002073371,0.002110003,0.001472908,0.002968008,0.01741031,0.016913905,0.013502369,0.027928404,0.022886143,0.022296395,0.017740091,0.035342766,3.25946597,3.329125678,2.962359721,3.634853364,7.122562522,7.270184141,6.473288187,7.945311184,6.464660299,6.596474266,5.87391941,7.213358775,4.369854505,4.458715284,3.968167567,4.877159296,21.2165433,21.65449937,19.2792064,23.67068262,0.976869717,0.952068901,0.891512455,1.08249942,2.098177911,2.043367705,1.914365931,2.327839233,1.888904667,1.838936375,1.723148647,2.096998188,1.277979328,1.244216956,1.165759176,1.418307187,0.001614289,0.001532345,0.00126786,0.002414981,NA,NA,NA
8,3/8/20,Alameda County,6001,0.00383557,0.003621449,0.003163993,0.004944495,0.094485229,0.085206109,0.065878053,0.13230273,0.06136831,0.058613155,0.045425761,0.086338197,0.292439061,0.275375124,0.234227058,0.469118045,0.452128171,0.422815837,0.369889167,0.683390403,0.00142651,0.001351009,0.001175581,0.001811092,0.03528158,0.031909561,0.024519123,0.048688924,0.022973232,0.022008792,0.017037103,0.031975542,0.106711706,0.101002086,0.085771524,0.170245542,0.000263569,0.00026703,0.000221923,0.000344249,0.006391177,0.006186712,0.004409053,0.008989359,0.004051977,0.00415837,0.002898293,0.00576593,0.033920019,0.03323335,0.02640607,0.053625183,0.044626743,0.043845462,0.034797744,0.067909128,4.81316518,4.947829876,4.337604005,5.398872471,10.55738999,10.84749059,9.512383576,11.84509994,9.604390586,9.865496793,8.654581016,10.77883278,6.49457942,6.670506691,5.855074106,7.291001798,31.46952518,32.33132395,28.35615414,35.31380699,1.444723325,1.418415652,1.312920087,1.610468625,3.128284006,3.069061594,2.841789059,3.490162075,2.8272225,2.772723048,2.567621585,3.155330567,1.912113257,1.875249003,1.736240903,2.133605678,0.003525098,0.003370479,0.002778161,0.005206523,NA,NA,NA
9,3/9/20,Alameda County,6001,0.006245933,0.005951104,0.005138057,0.00792811,0.154681833,0.140819341,0.108970092,0.213518376,0.100731296,0.09710813,0.075112586,0.140374459,0.480604696,0.456765299,0.382920262,0.76321533,0.742263758,0.700643875,0.609574348,1.110725545,0.002189742,0.002094511,0.001804221,0.002740958,0.054521178,0.049823347,0.038362836,0.074150552,0.035628553,0.034481176,0.026631486,0.04915322,0.165400899,0.158173655,0.13172109,0.261633005,0.000470289,0.00048001,0.000397162,0.000605177,0.011443266,0.011164632,0.007940291,0.015849259,0.007251801,0.007501491,0.005225742,0.010201593,0.060543421,0.059791862,0.047361328,0.094497204,0.079708777,0.078937995,0.062506076,0.119737597,7.131240055,7.378977065,6.349078267,8.044754004,15.67823666,16.21686462,13.95993276,17.69032189,14.28683585,14.77405483,12.72012793,16.12482994,9.665336555,9.99373997,8.606015707,10.91261368,46.76164912,48.36363648,41.63809147,52.77251952,2.135125305,2.110838143,1.936154461,2.38127809,4.651372483,4.595471463,4.217921514,5.194795557,4.216935224,4.164858205,3.824146811,4.711562703,2.851942877,2.816599486,2.586918143,3.185149116,0.006933909,0.00667559,0.00548117,0.010125576,NA,NA,NA
10,3/10/20,Alameda County,6001,0.009829979,0.009444729,0.008111196,0.012345911,0.244620634,0.224666601,0.174199249,0.333819707,0.159705646,0.155294842,0.119901425,0.221470364,0.762719598,0.731094195,0.601958316,1.203280998,1.176875856,1.120500367,0.968110254,1.749464574,0.003301762,0.003185803,0.002713906,0.004087718,0.082666845,0.076242663,0.058938762,0.111547889,0.054195488,0.052925389,0.04078645,0.074466026,0.251539515,0.242738065,0.197911455,0.395995221,0.000791104,0.000813191,0.000666406,0.001005184,0.019317742,0.018990172,0.013481193,0.026416563,0.012241757,0.012759674,0.008885295,0.017014592,0.101972954,0.101472779,0.080064637,0.157399009,0.134323557,0.134035817,0.105588745,0.199507304,10.58179333,11.02178113,9.280732248,12.01124586,23.29790977,24.25968449,20.44497869,26.44686103,21.25653418,22.12940523,18.66791842,24.13263801,14.38712312,14.97588909,12.65297812,16.33643364,69.5233604,72.38675994,61.04660748,78.92717854,3.159116479,3.144375226,2.858683724,3.540898608,6.911999895,6.876006759,6.254807219,7.752132675,6.281792552,6.247178617,5.685309519,7.048403322,4.249282554,4.225535574,3.845847337,4.768755575,0.012672514,0.012281643,0.010045578,0.018320097,NA,NA,NA
11,3/11/20,Alameda County,6001,0.015141559,0.014662554,0.012397381,0.018833387,0.37838369,0.350412796,0.272910114,0.512592268,0.247620531,0.242743941,0.186830836,0.34229181,1.183520013,1.143552974,0.923556375,1.859029176,1.824665793,1.751372266,1.500597014,2.70127691,0.004936108,0.004800538,0.003992169,0.006054035,0.124124224,0.115448476,0.089626012,0.167078277,0.081600609,0.080348977,0.061423554,0.111895311,0.378754695,0.368521415,0.293877393,0.594045728,0.001278618,0.001323339,0.001076279,0.001607242,0.031329885,0.031025188,0.022017773,0.042398854,0.01986027,0.020852871,0.014515805,0.027323353,0.165134532,0.165527307,0.130069125,0.252492713,0.217603305,0.218728705,0.171305097,0.31999838,15.7148972,16.47648886,13.56333652,17.97308014,34.63028237,36.30044188,29.91502332,39.60703553,31.62532123,33.14459593,27.35406579,36.17295843,21.41418835,22.43976574,18.56362318,24.49736332,103.3846891,108.3612924,89.39604881,118.2473587,4.680414143,4.689816762,4.148838011,5.274219776,10.27119713,10.28730629,9.106248319,11.57920922,9.352311839,9.364461513,8.29602723,10.54754734,6.328365826,6.335925898,5.622652947,7.141236643,0.02196133,0.021422085,0.017454061,0.031466467,NA,NA,NA
